,id,naturalness,next,final
0,0_2,natural,"[0.18255245685577393, 0.5705523490905762, 0.811272144317627, 0.8436053991317749, 0.9164813756942749, 0.9658346772193909, 0.9704446196556091, 0.9867499470710754, 0.9919320344924927, 0.9918752312660217]","[0.05697137117385864, 0.36331528425216675, 0.6298762559890747, 0.7315573692321777, 0.8106905221939087, 0.8885096311569214, 0.923229992389679, 0.9567252397537231, 0.9792419075965881, 0.9918752312660217]"
391,144_3,natural,"[0.16096913814544678, 0.7117056846618652, 0.8707914352416992, 0.939038872718811, 0.9342455863952637, 0.9504754543304443, 0.9708499908447266, 0.986399233341217, 0.9907996654510498, 0.9942517280578613]","[0.07810056209564209, 0.48750078678131104, 0.6310628056526184, 0.7410436868667603, 0.7625716924667358, 0.8326201438903809, 0.9090135097503662, 0.9607858061790466, 0.9814687967300415, 0.9942517280578613]"
390,144_0,natural,"[0.09740382432937622, 0.664138913154602, 0.8873481750488281, 0.9217364192008972, 0.9657008647918701, 0.9465599656105042, 0.9821656942367554, 0.9917912483215332, 0.9945268034934998, 0.9974191188812256]","[0.008598148822784424, 0.48952770233154297, 0.7512847185134888, 0.8039016127586365, 0.8914327621459961, 0.9293206930160522, 0.9370244741439819, 0.9745830297470093, 0.989654004573822, 0.9974191188812256]"
385,143_8,natural,"[0.12002921104431152, 0.6430811882019043, 0.7906011343002319, 0.8961586356163025, 0.8938634991645813, 0.9506760239601135, 0.969775378704071, 0.9822995662689209, 0.9891343116760254, 0.9904176592826843]","[0.02269160747528076, 0.40270888805389404, 0.6562891602516174, 0.7517808675765991, 0.7734207510948181, 0.8656046390533447, 0.9190810322761536, 0.938632071018219, 0.9684590101242065, 0.9904176592826843]"
384,143_2,natural,"[0.16911178827285767, 0.6335753798484802, 0.8615946769714355, 0.8850455284118652, 0.93520188331604, 0.968376100063324, 0.9766433238983154, 0.9859486818313599, 0.9900732040405273, 0.9907194375991821]","[0.045784175395965576, 0.3784554600715637, 0.6346614360809326, 0.7072588801383972, 0.791340708732605, 0.8598525524139404, 0.8934851884841919, 0.9348776340484619, 0.9684442281723022, 0.9907194375991821]"
383,142_6,natural,"[0.16224795579910278, 0.6497048735618591, 0.7947636842727661, 0.8739104866981506, 0.8843982219696045, 0.9813673496246338, 0.9884083867073059, 0.994438886642456, 0.9955169558525085, 0.9931478500366211]","[0.07182192802429199, 0.46876734495162964, 0.6031959652900696, 0.6740128397941589, 0.7956026792526245, 0.9185757637023926, 0.9469023942947388, 0.9706488847732544, 0.9830465912818909, 0.9931478500366211]"
382,142_5,natural,"[0.17843127250671387, 0.6092489957809448, 0.8965279459953308, 0.8920024633407593, 0.9028240442276001, 0.8900567293167114, 0.9176677465438843, 0.987804114818573, 0.9941320419311523, 0.9923198223114014]","[0.06063812971115112, 0.38084709644317627, 0.6884456872940063, 0.7426086664199829, 0.8138458728790283, 0.887732207775116, 0.8704248666763306, 0.9590364694595337, 0.980140209197998, 0.9923198223114014]"
381,142_1,natural,"[0.16724246740341187, 0.671724796295166, 0.8134970664978027, 0.8305672407150269, 0.9016892910003662, 0.9633052945137024, 0.9838400483131409, 0.9907340407371521, 0.9961060881614685, 0.994452714920044]","[0.05016064643859863, 0.39594048261642456, 0.5780133008956909, 0.6900229454040527, 0.8147104978561401, 0.9018835425376892, 0.9508593082427979, 0.9732341170310974, 0.9871376752853394, 0.994452714920044]"
380,142_0,natural,"[0.15450119972229004, 0.6516171097755432, 0.8384982943534851, 0.9317312836647034, 0.931138277053833, 0.9545697569847107, 0.9807915091514587, 0.98575758934021, 0.9899473786354065, 0.9886388182640076]","[0.047797560691833496, 0.43429309129714966, 0.6441715955734253, 0.7829989790916443, 0.8595330715179443, 0.9088212251663208, 0.9441031217575073, 0.9552494287490845, 0.9659255146980286, 0.9886388182640076]"
379,141_3,natural,"[0.21973246335983276, 0.7180831432342529, 0.8137864470481873, 0.7327979803085327, 0.9251449108123779, 0.9449917674064636, 0.9831281900405884, 0.9919611215591431, 0.9954800605773926, 0.9963995218276978]","[0.1660771369934082, 0.4998652935028076, 0.6320939660072327, 0.6514827609062195, 0.8603018522262573, 0.9077305197715759, 0.9506533741950989, 0.9763509035110474, 0.9883269667625427, 0.9963995218276978]"
